"id","pizza_type","ingredients","updated_at"
"1","Margherita","[{""name"":""Caputo Pizzeria Flour"",""unit"":""g"",""quantity"":175},{""name"":""Tomato Sauce"",""unit"":""g"",""quantity"":50},{""name"":""Mozzarela Cheese"",""unit"":""g"",""quantity"":90},{""name"":""Salt"",""unit"":""g"",""quantity"":5},{""name"":""Pecorino Cheese"",""unit"":""g"",""quantity"":10},{""name"":""Olive Oil"",""unit"":""ml"",""quantity"":10},{""name"":""Instant Dry Yeast"",""unit"":""g"",""quantity"":0.2}]","""2026-05-22T14:26:26.075Z"""
"2","Pepperoni","[{""name"":""Caputo Pizzeria Flour"",""unit"":""g"",""quantity"":175},{""name"":""Tomato Sauce"",""unit"":""g"",""quantity"":50},{""name"":""Mozzarela Cheese"",""unit"":""g"",""quantity"":90},{""name"":""Olive Oil"",""unit"":""ml"",""quantity"":10},{""name"":""Salt"",""unit"":""g"",""quantity"":5},{""name"":""Instant Dry Yeast"",""unit"":""g"",""quantity"":0.2},{""name"":""Pepperoni"",""unit"":""g"",""quantity"":50}]","""2026-05-22T14:26:28.649Z"""
"3","Special","[{""name"":""Caputo Pizzeria Flour"",""unit"":""g"",""quantity"":175},{""name"":""Instant Dry Yeast"",""unit"":""g"",""quantity"":0.2},{""name"":""Salt"",""unit"":""g"",""quantity"":5},{""name"":""Double Cream"",""unit"":""ml"",""quantity"":30},{""name"":""Mozzarela Cheese"",""unit"":""g"",""quantity"":75},{""name"":""Chicken"",""unit"":""g"",""quantity"":70},{""name"":""Olive Oil"",""unit"":""ml"",""quantity"":10},{""name"":""Pecorino Cheese"",""unit"":""g"",""quantity"":10},{""name"":""Red Onion"",""unit"":""g"",""quantity"":20},{""name"":""Jalepeneos"",""unit"":""g"",""quantity"":20}]","""2026-05-22T14:26:36.445Z"""
